N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr1:4173284	0.57	0	0	0.43	0	0	0.88	0	1	0.33	0	0.67	0.57	0	0.67	0	0.71	0	0.8	0.5	0	0.4	0.89	0	0.43	0	0.25	0.17	0	1	0.4	0	0.43	0	0.2	0.57	0	0.86	0	0	0.5	0.83	0.9	0.57	0.8	0	0.45	0.67	0.86	0.43	0.43	0.71	0.4	0.62	0.5	0.75	0	0.91	0.67	0	0.43	0	0	0.88	0	0.57	0.86	0.5	0	0.4	0.58	0.55	0	0.43	0.6	0	0	0.6	0.57	0.82	0.54	0.71	0.83	0	0	0.5	0.57	0.5	0	0.64	0.56	0.5	0.8	0.67	0	0	0	0	0	0.2	0	0.6	0.36	0	0.33	0.5	0.5	0.6	0.71	0.8	0	0	0	0	0.71	0	0	0	0.7	0	0.4	0	0.62	0.2	0.67	0.67	0.65	0.6
chr1:4797192	0.75	0	0.82	0.62	0	0	0.78	0.6	0.78	0.6	1	0.89	0	0.57	0.73	0.6	1	0	0.78	0.86	0	1	0.9	0.5	1	0.57	0	0.83	0.8	0.92	0	0	1	0	0	0	0	0	1	0	0.86	1	0	0.67	0.67	0	1	0	0.67	1	0.93	1	0.71	1	0	0.89	0.2	0.71	0.8	0	0.83	1	0	0.33	0	0.88	0.67	0	0.8	0.5	0.73	0.67	0.5	0.64	0	0.8	0.8	0	0.6	0.5	0.91	0	0.86	0	0	0.83	1	0.8	0	0.88	1	0.88	0.73	0.58	0	0	1	0.17	0	0.89	0	0.64	0.82	0	0.75	0.79	0.4	0.75	0.6	0.83	1	0	0	1	0.6	0	0	0	0.54	0.5	1	1	0.55	1	0.75	0.86	0.67	0
chr1:4935959	0.72	0	0.43	0.38	0	0.43	0.4	0	0.53	0.6	0.44	0.44	0	0.86	0.69	0	0	0	0.83	0.56	0	0.4	0.57	0	0.6	0.5	0.67	0.73	0	0.8	1	0	0.4	0	0	0.71	0	0	0	0.57	0.62	0.5	0.71	0.62	0.62	0.83	0	0	0.5	0.78	0.78	0.67	0.57	0.57	1	0.5	0.8	0.12	0.75	0.8	0	0.67	0.33	0.92	0.89	0.62	0.58	0	0	0	0.39	0.56	0	0.73	0.71	0	0	0	0.77	0.44	0.82	0.89	0	0	0	0.73	0.7	0.46	0.6	0.36	0.82	0.77	0	0.7	0	0	0.71	0.83	0.8	0	0	1	0.67	0.44	0.54	0.69	0.75	0.78	0.67	0.77	0	0	0	0.8	0.8	0.67	0	0	0.69	0.44	0.75	0.43	0.71	0	0.25	0.53	0.53	0
chr1:5482027	0.6	0	0	0	0.8	0	0.5	0.62	0	0	0.5	0.67	0	0	0.8	0	0	0	0.83	0.76	0	0	0	0	0.83	0	0.67	0.5	0.33	0.33	0	0	0	0	0	0.75	0	0	0	0.5	0.62	0	0.56	0.8	0.67	0.6	1	1	0	0	0.7	0	0.8	0	0.43	0	0	0	0.8	0	0.67	0	0	0.5	0	0.56	0.8	0.5	0.6	0	0.8	0.73	0	0.58	0	0	0	0.89	0.6	0.88	0.62	0.67	0.43	0	0	1	0.71	0.5	0	0.57	0	0.9	0.5	0.4	0	0	0.6	0.8	0.8	0.88	0	0	0.56	0	0.71	1	0.57	0.2	0.83	0.8	0	0	0	0	0.8	0	0	0	0	0	0.57	0	0.56	0.5	0	0.83	0.88	0
chr1:6082347	0.17	0.6	0	0.89	0	0	0.88	0.9	0.6	0.78	0.8	0	0	0.78	0.83	1	0.43	0	0.75	0.44	0	0.67	0.67	0.71	0.79	0	0.83	0	0	0	0.17	0	0.8	0	0	0	0	1	0	0	0.9	0.86	0.8	0	0.89	0.78	0.89	0.8	0.75	1	0.62	0.9	0.5	0	0.75	0	0	0.69	0.4	0.8	1	0	0	0.93	0.8	0.67	0.57	0.71	0	1	0.82	0.84	0	0.95	0	0.62	1	0	0.71	1	0	1	0	0.33	0	0.71	0.77	1	0.6	0.67	0.6	0.5	0.57	0.75	0	0	0.8	1	0	0.6	0	0	0.88	0	0.83	0.6	1	1	0.6	0.83	0	0	0.8	0	0.43	0	0	0	0.53	1	0	0	0.69	0.91	0.4	0.75	0.58	0
chr1:6105423	0.5	0.57	0.4	0.44	0.4	0	0.67	0.29	0	0	0.86	0.82	0	0	0.45	0	0	0.33	0.5	0.57	0	0.43	0.78	0	0.44	0.8	0.14	0.29	0.78	0.6	0	0	0.83	0	0	0.78	0.6	0.44	0	0.22	1	0.6	0	0.6	0.88	0.5	0	0.67	0	0.6	0.4	0.38	0.57	0.6	0.5	0.43	0	0	0.7	0	0.71	0	0.38	0.62	0.6	0	1	0.5	0.33	0	0.53	0.36	0	0.38	0.83	0	0	0.8	1	0.2	0.5	0.73	0.29	0.6	0	0.4	0.64	0.77	0	0.69	1	0.9	0	0.58	0	0.43	0.33	0.62	1	0.67	0.4	0.7	0.36	1	0.43	0.25	0.75	0.5	0.71	0.88	0	0	0	0	0.78	0.9	0	0	0.88	0.62	0	0	0.86	1	0	0.67	1	0
chr1:6464681	0	0.45	0.38	0.57	0.6	0	0.55	0	0.27	0.12	0.5	0.6	0.5	0.33	0.38	0.43	0.55	0	0.5	0.57	0.6	0.4	0.77	0.6	0.57	0.25	0.62	0.57	0.88	0.57	0	0.58	0.32	0	0.56	0.36	0.62	0.5	0.78	0.43	0.5	0.6	0.43	0.62	0.44	0.71	0.64	0.14	0.4	0.44	0.57	0.25	1	0.67	0.33	0.41	0.15	0.6	0.73	0.73	0.53	0.6	0.5	0.75	0.62	0.33	0.3	0.25	0.23	0.56	0.81	0.64	0.71	0.77	0.5	0.4	0.5	0.44	0.43	0.55	0.56	0.7	0.44	0.79	0.5	0.73	0.6	0.5	0.62	0.64	0.31	0.67	0.67	0.38	0.43	0.43	0.5	0.5	0.77	0.64	0	0.67	0.69	0	0.5	0.36	0.64	0.36	0.42	0	0.62	0.25	0.7	0.43	0.54	0.54	0	0.57	0.78	0.86	0.43	0.33	0.67	0.64	0.69	0.46	0.53	0.27
chr1:6584272	0	0	0.86	0.43	0	0.57	0.33	0.25	0.22	0.6	0.56	0.58	0	0.75	0.67	0	0.56	0	0.67	0.5	0	0.75	0.78	0.67	0.71	1	0.7	1	0.6	0.6	0	0	0.67	0	0.5	0.5	0.62	0.8	0.56	0.43	0.5	0.6	0.5	0.78	0.75	0.22	0.8	0.62	1	0.33	0.44	0.5	0.5	0.4	0.64	0.6	0	0.4	0.88	0.4	0.62	0.5	0.5	0.54	0.6	0	0.43	0.6	0.5	0.8	0.53	0.74	0	0.57	0.67	0	0	0.5	0.75	0.44	0.67	0	0	0.57	0.6	0.44	0.5	0.64	0.6	0.39	0.43	0.78	0.42	0.55	0.43	0	0	0.5	0.6	0.57	0.6	0.67	0.6	0.6	0.7	0.67	0.5	0.62	0.5	0.45	0	0.67	0.67	0	0.45	0	0	0.8	0.56	0.6	0.67	0	0.55	0.89	0.33	0.5	0.54	0
chr1:6609782	0.42	0.25	0.44	0.41	0.64	0.6	0.44	0.44	0.45	0.45	0.55	0.75	0.29	0.56	0.5	0.56	0.7	0	0.46	0.71	0.57	0.21	0.67	0.5	0.34	0.17	0.41	0.27	0.62	0.63	0.33	0.79	0.6	0.36	0.5	0.33	0.76	0.5	0.71	0.54	0.52	0.6	0.59	0.67	0.55	0.5	0.54	0.31	0.5	0.67	0.57	0.56	0.5	0.57	0.5	0.29	0.29	0.58	0.48	0.54	0.33	0.83	0.6	0.33	0.42	0.63	0.35	0.53	0.48	0.46	0.56	0.5	0.75	0.23	0.55	0.56	0.43	0.17	0.57	0.38	0.38	0.47	0.55	0.53	0.57	0.32	0.28	0.62	0.43	0.48	0.46	0.38	0.67	0.63	0.67	0.57	0.55	0.73	0.57	0.82	0	0.45	0.38	0.25	0.33	0.43	0.71	0.38	0.54	0.33	0.33	0.55	0.33	0.44	0.55	0.5	0	0.36	0.57	0.77	0.45	0	0.57	0.27	0.43	0.31	0.68	0.36
chr1:7186784	0.42	0.42	0.62	0.76	0.58	0.52	0.33	0.6	0.65	0.61	0.52	0.37	0.58	0.6	0.54	0.56	0.45	0.8	0.39	0.59	0.33	0.62	0.55	0.52	0.5	0.64	0.54	0.5	0.5	0.74	0.79	0.57	0.47	0.55	0.5	0.64	0.62	0.48	0.69	0.7	0.64	0.61	0.38	0.39	0.52	0.53	0.43	0.75	0.6	0.45	0.43	0.5	0.52	0.76	0.73	0.65	0.5	0.28	0.68	0.45	0.52	0.35	0.44	0.19	0.56	0.63	0.57	0.44	0.61	0.57	0.38	0.36	0.68	0.41	0.47	0.76	0.8	0.74	0.69	0.59	0.44	0.44	0.89	0.53	0.17	0.56	0.63	0.5	0.63	0.52	0.53	0.35	0.59	0.62	0.54	0.75	0.56	0.5	0.75	0.5	0.85	0.47	0.43	0.58	0.67	0.39	0.52	0.68	0.42	0.59	0.6	0.38	0.46	0.56	0.52	0.41	0.4	0.56	0.52	0.5	0.59	0.5	0.54	0.76	0.61	0.6	0.56	0.12
chr1:7606405	0.57	0	0.38	0.6	0.71	0.5	0.48	0.38	0.58	0.14	0.25	0.5	0.78	0.88	0.42	0	0.79	0	0.56	0.59	0	0.57	0.27	0.43	0.83	0	0.73	0.5	0.5	0.44	0.86	0.62	0	0	0	0.62	0.17	0.43	0.75	0.25	0.77	0.44	0.67	0.67	0.5	0.38	0.71	0.56	0.29	0.54	0.64	0.33	0.38	0.43	0.5	0.2	0.6	0.17	0.71	0.55	0.62	0.4	0.5	0.5	0.33	0.6	1	0.57	0.22	0.44	0.33	0.63	0.4	0.6	0.69	0.75	0	0	0.38	0.75	0.73	0.38	0	0	0	0.58	0.8	0.67	0.6	0.53	0.55	0.73	0.33	0.5	0	0.75	0.78	0	0.86	0.3	0	0.53	0.6	0.4	0.7	0.78	0.64	0.73	0.5	0.69	0.6	0	0.45	0	0.67	0	0	0.12	0.6	0.7	0.57	0	0.53	0.36	0.71	0.58	0.48	0.33
chr1:8016539	0.64	0.33	0.43	0	0.8	0	0.6	0.31	0.78	0.56	0.36	0.65	0.6	0.14	0.64	0.62	0.8	0	0.43	0.77	0.71	0.5	0.5	0.43	0.22	0.56	0.79	0.2	0.83	0.6	0.8	0.8	0.83	0	0.5	0	0.5	0	0.5	0.83	0.62	0.8	0.78	0.56	0.17	0.4	0.43	0	0.4	0.25	0.5	0.6	0.75	0.36	0.46	0.25	0.25	0.46	0.6	0	0	0.7	0.55	0.4	0.7	0.61	0.55	0.67	0.62	0.38	0.46	0.45	0.5	0.36	0.67	0.7	0	0.43	0.73	0.2	0.5	0	0	0.67	0	0.53	0.6	0.47	0	0.43	0.67	0.44	0.55	0.62	0.67	0	0.36	0.53	0.44	0.5	0.8	0.5	0.5	0.5	0.53	0.75	0.85	0	0.54	0.69	0.43	0	0	0.6	0.3	0.14	0	0	0.65	0.64	1	0.43	0.36	0.38	0.57	0.38	0.33	0
chr1:8431072	1	0	0	1	0.7	0	0	0.57	0.75	0	0.75	0.67	0.75	0	0.78	0	0	0	0.89	0.88	0	1	1	0	0.75	0	0	0	0.8	1	0	0	0	0	0	1	0	0	0	0	0.75	0	1	0	0	0	0	0.88	0.86	0.9	0.91	0.71	0.67	0.67	0	0	1	1	0.89	0	1	0.83	0.88	1	0	0.67	0.92	0	0	0.86	1	0.87	0	0.92	0.88	0	0	0.67	0.8	0	0.89	0.83	0	0.6	0	0.93	0.86	1	0	0.64	0	0.83	0.83	0.91	1	0	0	1	0	0	0	0	0.91	0	0.67	1	0.6	1	0.83	0.86	0	0	0	0	1	0	0	0	0.91	0.86	1	0	0.67	0.8	1	0.78	0.8	0
chr1:8889772	0.83	0	0.86	0	0.83	0.56	0.71	0.62	0.5	0.4	0	0.44	0.62	0.67	0	0	0	0	0.83	0	0.43	0.56	0	0	0	0.4	0.69	0.27	0.5	0	0	0.6	0	0.29	0.2	0	0.67	0	0	0	0.86	0.6	0.43	0	0	0.78	0	0	0.71	0.54	0.64	0	0.38	0	0.5	0	0.4	0	0.4	0.29	0	0.67	0	0.33	0	0.44	0.33	0.67	0.2	0	0	0.6	0	0	0	0.86	0	0	0.6	0	0	0.71	0	0	0.71	0.5	0.6	0.2	0.88	0.4	0	0.57	0.43	0.57	0.86	0.57	0	0	0	0.83	0.67	0	0.33	0.43	0.4	0	0	0	0	0.43	0	0	0.29	0.67	1	0.5	0	0.6	0.4	0	0	1	0	0.57	0	0	0.33	0
chr1:8988385	0.9	1	0.56	0	0	0	0.8	0	0.6	0	1	0.67	1	1	0.69	0.4	0	0	0.9	0.65	0	0.89	0.67	0.75	0.67	0	0.6	0.86	0	0.62	0	0	0.33	0	0	0.8	0	0	0	0	0.75	0.71	0.75	0.89	0.85	0.57	0.78	1	0.71	0.77	0.83	0.78	0.67	0.75	0.71	0.89	1	0.75	0.89	0	0.5	0	0	0.82	1	0.6	0.67	0.5	0.6	0.6	0.92	0.88	1	0.79	0	0	0	1	0	0.55	0.67	0.82	0	1	0	0.78	0.81	0.82	1	0.81	0.89	0.64	0	1	1	0	0.83	0.83	0.86	0	0	0.83	0.83	0.83	0.82	0	0.75	1	0.71	0.5	0	0	0.5	0	1	1	0	0	0.83	0.67	0	0.67	0.86	0.88	0.91	0.92	0.82	0
chr1:11481594	0.62	0	0	0.64	0	0	1	0.86	0.33	0.5	0.67	0.83	0.43	0	0.64	0	0.8	0	0.78	0.7	0	0.86	0.67	0	0.9	0.8	0.5	0.83	0.4	1	0	0.67	0	0.8	0	0.71	0.8	0.88	0	0	0.43	0.43	0.4	1	0.75	0	0.71	0.89	0.83	0	0.89	0.67	0.73	0.73	0.6	0.86	0.8	0.75	0.5	0	1	0	0	0.7	0.7	0.91	0.43	0.67	0.5	0.6	0.5	0.7	0	0.67	0	0.4	0	0	1	0.7	0.5	0	0	0	0	0.62	0.8	0.33	0	0.69	0.57	0.6	1	0.9	0.6	0	0	1	0.58	0	0	0.6	1	0.8	0.93	0	0.75	0	0.75	0.91	0.67	0.71	0	0	0.86	0	0	0	0.88	0	0.67	0	0.75	0.8	0	0.9	0.5	0
chr1:11730080	0	1	0	0.83	0	0	1	0	0.56	0.62	0.6	0.8	0	0	1	0	0	0	0	0.8	0	0	1	1	0	0	1	1	0	1	0.6	0	0	0.8	0.88	1	1	0.8	0	0.78	1	0	0.83	0	0.88	1	0.57	0.88	0	0.91	0.9	0.75	0	1	0.83	0	1	0.92	0.8	0	0.6	0	0.8	0.92	0	0.83	1	0	0	0	0	0.86	0.86	0.83	0	0.88	1	1	0	1	0.75	1	0.8	0	0	0	0	0.92	0	0.71	0	0.87	1	0.89	0.8	0	0	0.8	0.73	0	0	0	0.75	0.71	0.6	1	0.6	0	0.83	1	0	0	1	0	0	0	0	0	1	0	0	0.8	1	0.5	0	0	0.88	0
chr1:11855146	0.75	0.88	0.5	0.8	0.5	0.5	0.71	0.86	0.5	0	0.64	0.64	0	0.75	1	0.5	1	0.67	0.86	0.82	0.8	0.62	0.83	0.5	0.5	0.67	0.75	0.5	0	0.83	0	0.5	0	0	0.75	1	1	0.67	0	0.67	0.56	0.92	1	0.8	0.81	0.77	0.67	0.86	0.71	0.67	0.82	0.33	0.67	0.73	0.92	0.7	0	0.88	0.83	0.67	0.62	0	0.89	0.79	1	0.4	0.56	0.27	0.8	1	0.92	0.83	0	1	0.9	0	0	1	1	0.57	0.5	0.88	0	0.6	0.6	0.76	0.85	0.82	0.67	0.72	1	0.93	0.9	0.55	0.71	0	0.75	0.71	1	0	0.6	0.82	0.6	0.6	0.81	0.82	0.89	0.92	1	0.9	0	0.71	0.36	0.71	0.8	0.88	0	0.71	0.6	0.9	0.82	0.6	0.5	0.64	0.83	0.58	0.46	0
chr1:12004873	0	0	0	0	0	0.83	1	0.86	0.83	0	0.71	1	1	0	0.86	1	0.8	0	0.83	1	0	1	0	0	1	0	0.86	1	0	0	1	0	0	0	0.88	0	0.8	0	0	0	0	0.75	0.83	0.88	1	0	0	0	1	0	1	1	0.83	0.86	1	0	0	0.83	1	0	0	0	0	0.92	1	1	0.89	0	0.88	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0.92	0.7	0.86	0	1	1	0.8	0.88	1	0	0	0	0.88	0	0	0	0	0.83	0	1	1	1	1	0.89	0.8	0	0	0	0	1	0.8	0	0	0.83	0	0.83	1	1	0	0.86	1	1	0
