"","trait","snp"
"87.16","Serum 25-Hydroxyvitamin D levels","rs28364331"
"87.17","Serum 25-Hydroxyvitamin D levels","rs28364331"
"1461","Type 1 diabetes (age at diagnosis)","rs9275358"
"1461.1","Type 1 diabetes (age at diagnosis)","rs9275358"
"124.1","Mean platelet volume","rs2788493"
"1623","wg rh intensity-contrast frontalpole","rs34089598"
"87.18","Serum 25-Hydroxyvitamin D levels","rs28364331"
"1611.7","wg rh intensity-contrast superiortemporal","rs6442411"
"1417.1","aparc-Desikan rh area postcentral","rs17694988"
"1611.8","wg rh intensity-contrast superiortemporal","rs6442411"
"767.4","Type 1 diabetes (age at diagnosis)","rs2941522"
"1611.9","wg rh intensity-contrast superiortemporal","rs6442411"
"683.7","IDP dMRI ProbtrackX L2 ptr r","rs17205972"
"87.19","Serum 25-Hydroxyvitamin D levels","rs28364331"
"87.20","Serum 25-Hydroxyvitamin D levels","rs28364331"
"793","Diastolic blood pressure","rs6714498"
"341.8","Waist circumference adjusted for body mass index","rs114432657"
"87.21","Serum 25-Hydroxyvitamin D levels","rs28364331"
"87.22","Serum 25-Hydroxyvitamin D levels","rs28364331"
"1338.2","Basal cell carcinoma","rs78227582"
"680","IDP dMRI ProbtrackX L2 ilf l","rs67827860"
"1237","Systolic blood pressure","rs3118905"
"1280","Systolic blood pressure","rs6486781"
"1338.3","Basal cell carcinoma","rs78227582"
"737","Lymphocyte counts","rs189637610"
"128.2","Mean platelet volume","rs3916027"
"1280.1","Systolic blood pressure","rs6486781"
"1319.1","Basal cell carcinoma","rs4682103"
"1335.2","Basal cell carcinoma","rs117744081"
"1304","Aerodigestive squamous cell cancer (pleiotropy)","rs78429184"
"1404.5","aparc-Desikan rh area lateraloccipital","rs62065452"
"1261","Systolic blood pressure","rs4574"
